,topics,project_name,useful_lines_of_code_(uloc),duplicate_uloc,architecture_type,core,core_size,propagation_cost,percent_files_overly_complex,useful_comment_density,percent_duplicate_uloc,overall_score,architecture_score,clarity_score,complexity_score,explanation
0,"['ada', 'vulkan', 'game-engine']",AdaDoom3/AdaDoom3,14802,708,Hierarchical,False,50.0,11.6,2,45,4.783137413862992,3.2,1.16,0.96,1.08,"['useful_comment_density percentile: 96.0 activation: 0.96', 'percent_files_overly_complex percentile: 84.0', 'percent_duplicate_uloc percentile: 8.0', 'propagation_cost percentile: 84.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1684 - 57864 LOC ]NEAREST']"
1,[],jrmarino/synth,12997,1965,Multi-Core,False,57.1,18.0,11,15,15.118873586212203,2.12,1.04,0.44,0.64,"['useful_comment_density percentile: 44.0 activation: 0.44', 'percent_files_overly_complex percentile: 100.0', 'percent_duplicate_uloc percentile: 36.0', 'propagation_cost percentile: 96.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1684 - 57864 LOC ]NEAREST']"
3,[],mk270/whitakers-words,20193,4468,Hierarchical,False,54.7,4.0,4,14,22.126479473084732,2.52,1.72,0.36,0.44,"['useful_comment_density percentile: 36.0 activation: 0.36', 'percent_files_overly_complex percentile: 92.0', 'percent_duplicate_uloc percentile: 64.0', 'propagation_cost percentile: 28.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1684 - 57864 LOC ]NEAREST']"
4,[],AdaCore/Ada_Drivers_Library,163142,94940,Hierarchical,False,63.0,1.4,0,33,58.19470154834438,3.38,1.6600000000000001,0.84,0.88,"['useful_comment_density percentile: 84.0 activation: 0.84', 'percent_files_overly_complex percentile: 16.0', 'percent_duplicate_uloc percentile: 96.0', 'propagation_cost percentile: 34.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 9573 - 201877 LOC ]NEAREST']"
5,[],cforler/Ada-Crypto-Library,41545,11199,Hierarchical,False,15.2,1.1,0,15,26.95631243230232,3.36,1.8399999999999999,0.44,1.08,"['useful_comment_density percentile: 44.0 activation: 0.44', 'percent_files_overly_complex percentile: 24.0', 'percent_duplicate_uloc percentile: 68.0', 'propagation_cost percentile: 16.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1940 - 70826 LOC ]NEAREST']"
6,"['glfw', 'ada', 'opengl-bindings', 'ada-binding']",flyx/OpenGLAda,25926,4287,Hierarchical,False,52.2,3.5,1,5,16.535524184216616,2.7,1.76,0.2,0.74,"['useful_comment_density percentile: 20.0 activation: 0.2', 'percent_files_overly_complex percentile: 70.0', 'percent_duplicate_uloc percentile: 56.0', 'propagation_cost percentile: 24.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1684 - 57864 LOC ]NEAREST']"
7,[],Fabien-Chouteau/ACNC,4378,491,Core-Periphery,True,6.1,9.1,0,19,11.215166742804934,2.5,1.0,0.5,1.0,"['useful_comment_density percentile: 50.0 activation: 0.5', 'percent_files_overly_complex percentile: 50.0', 'percent_duplicate_uloc percentile: 50.0', 'propagation_cost percentile: 50.0', 'Core type of architecture is True, measuring core size', 'core_size percentile: 50.0', 'number cases: 4 [ 2690 - 15151 LOC ]NEAREST']"
8,[],Lucretia/bare_bones,1940,618,Multi-Core,False,56.8,5.2,0,33,31.85567010309278,3.32,1.56,0.88,0.88,"['useful_comment_density percentile: 88.0 activation: 0.88', 'percent_files_overly_complex percentile: 28.0', 'percent_duplicate_uloc percentile: 84.0', 'propagation_cost percentile: 44.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1684 - 57864 LOC ]NEAREST']"
9,[],Lucretia/sdlada,10770,1689,Hierarchical,False,53.3,5.8,0,5,15.682451253481894,2.84,1.44,0.2,1.2,"['useful_comment_density percentile: 20.0 activation: 0.2', 'percent_files_overly_complex percentile: 28.0', 'percent_duplicate_uloc percentile: 52.0', 'propagation_cost percentile: 56.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1684 - 57864 LOC ]NEAREST']"
10,[],kburtch/SparForte,70826,24344,Hierarchical,False,61.7,1.8,5,28,34.37155846722955,2.8,1.76,0.76,0.28,"['useful_comment_density percentile: 76.0 activation: 0.76', 'percent_files_overly_complex percentile: 88.0', 'percent_duplicate_uloc percentile: 84.0', 'propagation_cost percentile: 24.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 2262 - 94251 LOC ]NEAREST']"
11,[],AdaCore/gtkada,201877,68210,Hierarchical,False,23.1,5.8,14,43,33.78790055330721,2.44,1.24,0.92,0.28,"['useful_comment_density percentile: 92.0 activation: 0.92', 'percent_files_overly_complex percentile: 100.0', 'percent_duplicate_uloc percentile: 72.0', 'propagation_cost percentile: 76.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 9573 - 177393 LOC ]NEAREST']"
13,[],AdaCore/libadalang,149042,20708,Hierarchical,False,49.6,0.5,1,32,13.894070127883415,4.14,1.96,0.8,1.38,"['useful_comment_density percentile: 80.0 activation: 0.8', 'percent_files_overly_complex percentile: 50.0', 'percent_duplicate_uloc percentile: 12.0', 'propagation_cost percentile: 4.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 9573 - 201877 LOC ]NEAREST']"
14,[],AdaCore/svd2ada,4061,1118,Core-Periphery,True,8.7,25.3,0,21,27.530164983994087,1.5,0.25,0.75,0.5,"['useful_comment_density percentile: 75.0 activation: 0.75', 'percent_files_overly_complex percentile: 50.0', 'percent_duplicate_uloc percentile: 100.0', 'propagation_cost percentile: 100.0', 'Core type of architecture is True, measuring core size', 'core_size percentile: 75.0', 'number cases: 4 [ 2690 - 15151 LOC ]NEAREST']"
16,[],AdaCore/aws,94251,22718,Hierarchical,False,50.2,1.4,1,22,24.103723037421354,3.18,1.6600000000000001,0.6,0.9199999999999999,"['useful_comment_density percentile: 60.0 activation: 0.6', 'percent_files_overly_complex percentile: 52.0', 'percent_duplicate_uloc percentile: 56.0', 'propagation_cost percentile: 34.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 8729 - 177393 LOC ]NEAREST']"
17,[],persan/zeromq-Ada,2924,161,Hierarchical,False,55.4,4.9,0,33,5.506155950752394,4.08,1.6400000000000001,0.88,1.56,"['useful_comment_density percentile: 88.0 activation: 0.88', 'percent_files_overly_complex percentile: 28.0', 'percent_duplicate_uloc percentile: 16.0', 'propagation_cost percentile: 36.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1684 - 57864 LOC ]NEAREST']"
18,[],ytomino/drake,150487,54317,Hierarchical,False,55.4,0.6,1,9,36.094147667240364,2.8200000000000003,1.92,0.2,0.7,"['useful_comment_density percentile: 20.0 activation: 0.2', 'percent_files_overly_complex percentile: 50.0', 'percent_duplicate_uloc percentile: 80.0', 'propagation_cost percentile: 8.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 9573 - 201877 LOC ]NEAREST']"
19,"['game', 'roguelike', 'ada', 'ncurses', 'gtkada']",thindil/steamsky,23617,3637,Hierarchical,False,58.6,7.7,3,3,15.399923783715119,1.96,1.32,0.0,0.64,"['useful_comment_density percentile: 0.0 activation: 0.0', 'percent_files_overly_complex percentile: 88.0', 'percent_duplicate_uloc percentile: 48.0', 'propagation_cost percentile: 68.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1684 - 57864 LOC ]NEAREST']"
20,"['polynomial-systems', 'homotopy-continuation-methods', 'homotopy', 'algebraic-geometry', 'parallel-computing', 'gpu-acceleration']",janverschelde/PHCpack,623541,399156,Hierarchical,False,51.1,1.0,15,18,64.0143952041646,2.3200000000000003,1.76,0.52,0.04,"['useful_comment_density percentile: 52.0 activation: 0.52', 'percent_files_overly_complex percentile: 100.0', 'percent_duplicate_uloc percentile: 96.0', 'propagation_cost percentile: 24.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 10770 - 201877 LOC ]NEAREST']"
21,[],karakalo/lumen,15151,2020,Borderline Core-Periphery,True,4.5,5.6,0,12,13.332453303412317,2.5,1.75,0.0,0.75,"['useful_comment_density percentile: 0.0 activation: 0.0', 'percent_files_overly_complex percentile: 50.0', 'percent_duplicate_uloc percentile: 75.0', 'propagation_cost percentile: 0.0', 'Core type of architecture is True, measuring core size', 'core_size percentile: 25.0', 'number cases: 4 [ 2690 - 6439 LOC ]NEAREST']"
22,['web-framework'],stcarrez/ada-awa,51071,14397,Hierarchical,False,51.7,4.1,0,18,28.190166630768932,3.18,1.56,0.6,1.02,"['useful_comment_density percentile: 60.0 activation: 0.6', 'percent_files_overly_complex percentile: 22.0', 'percent_duplicate_uloc percentile: 76.0', 'propagation_cost percentile: 44.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 2262 - 94251 LOC ]NEAREST']"
24,[],AdaCoreU/Courses,12286,6410,Hierarchical,False,59.7,0.7,0,18,52.17320527429594,3.38,1.96,0.62,0.7999999999999999,"['useful_comment_density percentile: 62.0 activation: 0.62', 'percent_files_overly_complex percentile: 28.0', 'percent_duplicate_uloc percentile: 92.0', 'propagation_cost percentile: 4.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1684 - 57864 LOC ]NEAREST']"
26,"['aadl', 'ada']",OpenAADL/ocarina,177393,73710,Hierarchical,False,54.8,1.4,9,18,41.55180869594629,2.5200000000000005,1.6600000000000001,0.54,0.32,"['useful_comment_density percentile: 54.0 activation: 0.54', 'percent_files_overly_complex percentile: 84.0', 'percent_duplicate_uloc percentile: 84.0', 'propagation_cost percentile: 34.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 9573 - 201877 LOC ]NEAREST']"
27,[],AdaCore/gprbuild,69400,10563,Hierarchical,False,53.4,3.1,10,23,15.220461095100864,3.16,1.72,0.68,0.76,"['useful_comment_density percentile: 68.0 activation: 0.68', 'percent_files_overly_complex percentile: 92.0', 'percent_duplicate_uloc percentile: 32.0', 'propagation_cost percentile: 28.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 2262 - 94251 LOC ]NEAREST']"
28,[],karakalo/old-lumen,18245,4112,Hierarchical,False,58.2,6.2,0,16,22.537681556590847,2.92,1.3599999999999999,0.52,1.04,"['useful_comment_density percentile: 52.0 activation: 0.52', 'percent_files_overly_complex percentile: 28.0', 'percent_duplicate_uloc percentile: 68.0', 'propagation_cost percentile: 64.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1684 - 57864 LOC ]NEAREST']"
29,[],Fabien-Chouteau/eagle-lander,2690,278,Core-Periphery,True,12.0,15.5,4,15,10.33457249070632,1.25,0.25,0.25,0.75,"['useful_comment_density percentile: 25.0 activation: 0.25', 'percent_files_overly_complex percentile: 100.0', 'percent_duplicate_uloc percentile: 25.0', 'propagation_cost percentile: 75.0', 'Core type of architecture is True, measuring core size', 'core_size percentile: 100.0', 'number cases: 4 [ 4061 - 15151 LOC ]NEAREST']"
30,[],raph-amiard/ada-synth-lib,3738,298,Hierarchical,False,50.0,14.5,0,16,7.972177635098983,3.12,1.08,0.52,1.52,"['useful_comment_density percentile: 52.0 activation: 0.52', 'percent_files_overly_complex percentile: 28.0', 'percent_duplicate_uloc percentile: 20.0', 'propagation_cost percentile: 92.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1684 - 57864 LOC ]NEAREST']"
31,[],AdaCore/Certyflie,6439,481,Borderline Core-Periphery,True,4.1,6.7,0,26,7.470104053424445,4.25,1.75,1.0,1.5,"['useful_comment_density percentile: 100.0 activation: 1.0', 'percent_files_overly_complex percentile: 50.0', 'percent_duplicate_uloc percentile: 0.0', 'propagation_cost percentile: 25.0', 'Core type of architecture is True, measuring core size', 'core_size percentile: 0.0', 'number cases: 4 [ 2690 - 15151 LOC ]NEAREST']"
32,"['logging', 'process', 'streams', 'serializer', 'json', 'beans']",stcarrez/ada-util,33847,5170,Hierarchical,False,55.6,3.2,1,24,15.274618134546635,3.3400000000000003,1.8,0.68,0.8600000000000001,"['useful_comment_density percentile: 68.0 activation: 0.68', 'percent_files_overly_complex percentile: 70.0', 'percent_duplicate_uloc percentile: 44.0', 'propagation_cost percentile: 20.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1684 - 57864 LOC ]NEAREST']"
33,"['opencl', 'ada', 'ada-binding', 'cl-gl']",flyx/OpenCLAda,6079,1219,Hierarchical,False,51.5,13.5,0,4,20.052640236881068,2.3400000000000003,1.12,0.1,1.12,"['useful_comment_density percentile: 10.0 activation: 0.1', 'percent_files_overly_complex percentile: 28.0', 'percent_duplicate_uloc percentile: 60.0', 'propagation_cost percentile: 88.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1684 - 57864 LOC ]NEAREST']"
35,[],AdaCore/bb-runtimes,42132,23793,Hierarchical,False,51.1,0.9,0,30,56.47251495300484,3.4399999999999995,1.88,0.76,0.8,"['useful_comment_density percentile: 76.0 activation: 0.76', 'percent_files_overly_complex percentile: 24.0', 'percent_duplicate_uloc percentile: 96.0', 'propagation_cost percentile: 12.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1940 - 70826 LOC ]NEAREST']"
36,[],samueltardieu/aforth,1790,76,Hierarchical,False,66.7,34.6,0,30,4.245810055865921,3.4399999999999995,1.0,0.76,1.68,"['useful_comment_density percentile: 76.0 activation: 0.76', 'percent_files_overly_complex percentile: 28.0', 'percent_duplicate_uloc percentile: 4.0', 'propagation_cost percentile: 100.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1684 - 57864 LOC ]NEAREST']"
37,"['yaml', 'configuration', 'ada']",yaml/AdaYaml,12900,1964,Hierarchical,False,55.0,5.5,1,4,15.224806201550386,2.52,1.52,0.1,0.8999999999999999,"['useful_comment_density percentile: 10.0 activation: 0.1', 'percent_files_overly_complex percentile: 70.0', 'percent_duplicate_uloc percentile: 40.0', 'propagation_cost percentile: 48.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1684 - 57864 LOC ]NEAREST']"
38,[],OneWingedShark/Byron,2262,68,Hierarchical,False,33.7,6.1,0,10,3.0061892130857646,3.3600000000000003,1.4,0.24,1.72,"['useful_comment_density percentile: 24.0 activation: 0.24', 'percent_files_overly_complex percentile: 28.0', 'percent_duplicate_uloc percentile: 0.0', 'propagation_cost percentile: 60.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1684 - 57864 LOC ]NEAREST']"
39,[],pchapin/thumper,1684,92,Hierarchical,False,50.0,5.7,0,18,5.463182897862233,3.7,1.48,0.62,1.6,"['useful_comment_density percentile: 62.0 activation: 0.62', 'percent_files_overly_complex percentile: 28.0', 'percent_duplicate_uloc percentile: 12.0', 'propagation_cost percentile: 52.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1790 - 57864 LOC ]NEAREST']"
40,[],joewing/memsim,9573,1361,Hierarchical,False,64.4,5.2,1,4,14.21706883944427,2.64,1.56,0.1,0.98,"['useful_comment_density percentile: 10.0 activation: 0.1', 'percent_files_overly_complex percentile: 70.0', 'percent_duplicate_uloc percentile: 32.0', 'propagation_cost percentile: 44.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1684 - 57864 LOC ]NEAREST']"
41,[],AdaCore/gnatcoverage,57864,7675,Hierarchical,False,58.1,0.1,1,47,13.263860085718235,4.24,2.0,1.0,1.24,"['useful_comment_density percentile: 100.0 activation: 1.0', 'percent_files_overly_complex percentile: 60.0', 'percent_duplicate_uloc percentile: 16.0', 'propagation_cost percentile: 0.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 2262 - 94251 LOC ]NEAREST']"
44,[],jrmarino/ravenadm,29458,3953,Multi-Core,False,66.7,9.3,11,13,13.419105166677983,2.28,1.24,0.32,0.72,"['useful_comment_density percentile: 32.0 activation: 0.32', 'percent_files_overly_complex percentile: 100.0', 'percent_duplicate_uloc percentile: 28.0', 'propagation_cost percentile: 76.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1684 - 57864 LOC ]NEAREST']"
45,[],jrmarino/AdaBase,21015,6038,Hierarchical,False,56.1,11.6,1,12,28.73185819652629,1.94,1.16,0.28,0.5,"['useful_comment_density percentile: 28.0 activation: 0.28', 'percent_files_overly_complex percentile: 70.0', 'percent_duplicate_uloc percentile: 80.0', 'propagation_cost percentile: 84.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1684 - 57864 LOC ]NEAREST']"
46,[],AdaCore/ada-traits-containers,8729,3329,Hierarchical,False,27.3,8.3,1,32,38.13724367052354,2.5,1.28,0.8,0.42,"['useful_comment_density percentile: 80.0 activation: 0.8', 'percent_files_overly_complex percentile: 70.0', 'percent_duplicate_uloc percentile: 88.0', 'propagation_cost percentile: 72.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1684 - 57864 LOC ]NEAREST']"
48,[],AdaCore/embedded-runtimes,32798,25556,Hierarchical,False,53.0,0.9,0,34,77.91938532837368,3.5199999999999996,1.88,0.92,0.72,"['useful_comment_density percentile: 92.0 activation: 0.92', 'percent_files_overly_complex percentile: 28.0', 'percent_duplicate_uloc percentile: 100.0', 'propagation_cost percentile: 12.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1684 - 57864 LOC ]NEAREST']"
